"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"
"hsa-miR-135b"	"0.0000337"	"4.63e-08"	"8.41107"	"8.6657"	"2.819987"
"hsa-miR-221"	"0.0007128"	"1.96e-06"	"6.56318"	"5.1473"	"2.181648"
"hsa-miR-10a"	"0.0011033"	"4.87e-06"	"6.14563"	"4.2822"	"2.841119"
"hsa-miR-197"	"0.0011033"	"6.07e-06"	"6.04555"	"4.0714"	"2.192276"
"hsa-miR-145"	"0.0011327"	"7.79e-06"	"5.93326"	"3.8332"	"3.244704"
"hsa-miR-490-3p"	"0.0014033"	"1.16e-05"	"5.75613"	"3.4544"	"1.888625"
"hsa-miR-21"	"0.0019778"	"1.90e-05"	"5.53617"	"2.9787"	"2.992536"
"hsa-miR-484"	"0.0020383"	"2.35e-05"	"5.44318"	"2.7761"	"1.835517"
"hsa-miR-223"	"0.0020383"	"2.80e-05"	"5.36693"	"2.6092"	"2.930734"
"hsa-miR-630"	"0.0020383"	"2.80e-05"	"-5.36662"	"2.6085"	"-4.218462"
"hsa-miR-302c"	"0.0024343"	"3.94e-05"	"-5.21838"	"2.2825"	"-1.37368"
"hsa-miR-342-3p"	"0.0024343"	"4.02e-05"	"5.20996"	"2.2639"	"2.136132"
"hsa-miR-125a-5p"	"0.002574"	"4.60e-05"	"5.15108"	"2.1338"	"2.483418"
"hsa-miR-1975"	"0.0034239"	"6.74e-05"	"4.98634"	"1.7683"	"2.291544"
"hsa-miR-27a"	"0.0034239"	"7.06e-05"	"4.96619"	"1.7234"	"3.636233"
"hsa-miR-331-3p"	"0.003497"	"7.70e-05"	"4.92936"	"1.6414"	"1.830589"
"hsa-miR-140-3p"	"0.003638"	"8.51e-05"	"4.88635"	"1.5454"	"1.504247"
"hsa-miR-142-5p"	"0.0039221"	"9.87e-05"	"4.82257"	"1.403"	"2.625738"
"hsa-miR-337-3p"	"0.0039221"	"1.03e-04"	"4.80644"	"1.3669"	"1.307959"
"hsa-miR-190b"	"0.0057681"	"1.59e-04"	"4.61975"	"0.9485"	"1.369034"
"hsa-miR-199a-5p"	"0.0070605"	"2.04e-04"	"4.51288"	"0.7084"	"3.264147"
"hsa-miR-1236"	"0.0125423"	"3.80e-04"	"4.2491"	"0.1148"	"1.213089"
"hsa-miR-361-5p"	"0.0135814"	"4.34e-04"	"4.19222"	"-0.0132"	"1.868377"
"hsa-miR-107"	"0.0135814"	"4.48e-04"	"4.17844"	"-0.0442"	"1.312585"
"hsa-miR-10b"	"0.0147383"	"5.07e-04"	"4.12646"	"-0.1611"	"1.086335"
"hsa-miR-450a"	"0.0155875"	"5.57e-04"	"4.08608"	"-0.2519"	"1.551024"
"hsa-miR-142-3p"	"0.0159969"	"6.14e-04"	"4.04523"	"-0.3437"	"2.892267"
"hsa-miR-1537"	"0.0159969"	"6.22e-04"	"4.03947"	"-0.3566"	"1.20079"
"hsa-miR-129-3p"	"0.0159969"	"6.56e-04"	"4.0168"	"-0.4075"	"2.073776"
"hsa-miR-873"	"0.0159969"	"6.66e-04"	"4.01058"	"-0.4215"	"0.975469"
"hsa-miR-383"	"0.0159969"	"6.94e-04"	"-3.99298"	"-0.461"	"-1.357878"
"hsa-miR-324-5p"	"0.0159969"	"7.04e-04"	"3.98701"	"-0.4744"	"1.305395"
"hsa-miR-656"	"0.0161787"	"7.60e-04"	"-3.95486"	"-0.5465"	"-1.037941"
"hsa-miR-216a"	"0.0161787"	"7.81e-04"	"-3.94308"	"-0.5729"	"-2.636217"
"hsa-miR-193a-5p"	"0.0161787"	"8.05e-04"	"3.92996"	"-0.6023"	"1.132399"
"hsa-miR-199b-5p"	"0.0161787"	"8.32e-04"	"3.91614"	"-0.6333"	"2.598735"
"hsa-let-7i"	"0.0161787"	"8.37e-04"	"3.91385"	"-0.6384"	"2.073183"
"hsa-miR-299-5p"	"0.0161787"	"8.46e-04"	"3.90927"	"-0.6486"	"0.983493"
"hsa-miR-150"	"0.0175298"	"9.44e-04"	"3.86268"	"-0.7529"	"3.28386"
"hsa-miR-130b"	"0.0175298"	"9.84e-04"	"-3.84482"	"-0.7929"	"-2.612345"
"hsa-miR-143"	"0.0175298"	"9.89e-04"	"3.84292"	"-0.7971"	"2.713456"
"hsa-miR-433"	"0.0180002"	"1.04e-03"	"3.82142"	"-0.8451"	"0.892232"
"hsa-miR-100"	"0.0180691"	"1.08e-03"	"3.80404"	"-0.8839"	"2.544108"
"hsa-miR-222"	"0.0180691"	"1.09e-03"	"3.80002"	"-0.8929"	"1.572305"
"hsa-miR-199a-3p+hsa-miR-199b-3p"	"0.0194912"	"1.21e-03"	"3.75822"	"-0.9861"	"2.445292"
"hsa-miR-711"	"0.0201509"	"1.34e-03"	"-3.71284"	"-1.0872"	"-1.215218"
"hsa-miR-99a"	"0.0201509"	"1.36e-03"	"3.70641"	"-1.1015"	"1.998686"
"ebv-miR-BART9"	"0.0201509"	"1.37e-03"	"3.70315"	"-1.1087"	"0.856511"
"hsa-miR-603"	"0.0201509"	"1.41e-03"	"-3.69276"	"-1.1318"	"-1.162608"
"hsa-miR-181b+hsa-miR-181d"	"0.0201509"	"1.41e-03"	"3.69169"	"-1.1342"	"0.733089"
"hsa-miR-31"	"0.0201509"	"1.41e-03"	"3.69072"	"-1.1363"	"1.615316"
"hsa-miR-217"	"0.0211921"	"1.52e-03"	"-3.66095"	"-1.2025"	"-3.572319"
"hsa-miR-122"	"0.0212215"	"1.55e-03"	"3.65223"	"-1.2218"	"0.885401"
"hsa-miR-607"	"0.021318"	"1.58e-03"	"-3.64232"	"-1.2438"	"-0.996687"
"hsa-miR-23a"	"0.0215577"	"1.63e-03"	"3.62971"	"-1.2717"	"2.265833"
"hsa-miR-155"	"0.0229774"	"1.77e-03"	"3.59476"	"-1.3491"	"1.327172"
"hsa-miR-125b"	"0.0233466"	"1.83e-03"	"3.58037"	"-1.3809"	"2.846407"
"hsa-miR-655"	"0.0260153"	"2.08e-03"	"-3.52659"	"-1.4996"	"-2.216555"
"hsa-miR-425"	"0.0264391"	"2.15e-03"	"3.51234"	"-1.531"	"0.905566"
