ID_REF,GSM1015744,GSM1015745,GSM1015746,GSM1015747,GSM1015748,GSM1015749,GSM1015750,GSM1015751,GSM1015752,GSM1015753,GSM1015754,GSM1015755,GSM1015756,GSM1015757,GSM1015758,GSM1015759,GSM1015760,GSM1015761
bkv-miR-B1-3p跋miR-J1-3p,14.33,10.38,13.27,15.37,21.97,14.45,14.89,10.41,16.12,13.04,17.04,16.24,17.02,16.75,10.25,21.66,24.35,11.43
bkv-miR-B1-5p,5.52,11.27,5.52,9.42,4.96,9.71,10.92,12.5,9.92,11.27,19.36,6.2,7.59,16.75,13.84,18.78,9.49,11.43
ebv-miR-BART1-3p,9.46,7.71,10.02,8.25,12.31,7.22,14.89,16.77,12.35,11.27,17.04,8.35,12.6,35.52,10.25,16.24,12.33,8.24
ebv-miR-BART1-5p,8.35,11.97,11.27,5.59,12.31,18.71,7.59,7.22,13.2,7.22,7.36,7.22,7.59,6.72,10.25,6.41,4.23,8.24
ebv-miR-BART10,29.56,26.92,27.31,20.93,20.33,72.45,20.12,20.93,24.38,562.62,26.68,20.09,41.63,16.75,23.8,45.95,12.33,35.97
ebv-miR-BART11-3p,26.71,20.03,8.24,4.73,12.31,16.74,14.89,7.22,11.02,17.13,15.87,12.99,15.45,12.97,7.22,11.03,19.57,9.68
ebv-miR-BART11-5p,5.52,7.22,9.42,4.73,3.72,7.62,3.35,7.97,7.71,7.22,12.75,9.71,7.59,9.71,7.22,6.41,0,7.17
ebv-miR-BART12,8.35,12.6,1.66,12.27,4.96,6.28,9.46,9.46,5.56,9.46,4.73,4.14,3.23,6.72,10.25,3.07,12.33,3.13
ebv-miR-BART13,3.59,7.71,2.91,9.42,10.45,7.62,7.59,9.46,9.33,3.8,7.36,6.2,4.23,6.72,20.44,7.22,14.71,5.5
ebv-miR-BART14,11.43,9.71,10.02,12.27,4.96,26.52,4.73,15.45,9.92,11.27,1.66,4.14,12.6,6.72,17.21,8.24,4.23,9.68
ebv-miR-BART15,24.04,19.1,12.4,15.37,23.8,12.75,9.46,7.97,9.33,37.45,31.19,31.67,12.6,12.97,20.44,20.2,24.35,11.43
ebv-miR-BART16,13.33,9.71,17.26,22.92,20.33,20.06,12.35,13.36,14.15,7.22,15.87,20.09,21.23,23.99,30.03,45.95,24.35,35.97
ebv-miR-BART17-3p,17.48,18.26,17.26,23.56,34.45,14.45,20.12,7.97,16.92,17.13,17.76,21.57,12.6,2.91,3.28,23.53,19.57,26.68
ebv-miR-BART17-5p,22.89,24.41,23.11,30.15,41.82,25.72,13.36,21.57,22.32,19.69,40.31,25.23,28.81,76.95,20.44,80.47,56.09,35.97
ebv-miR-BART18-3p,15.9,19.57,10.02,17.48,12.31,6.28,9.46,16.77,11.02,9.46,12.75,9.71,23.08,23.99,20.44,9.64,12.33,23.72
ebv-miR-BART18-5p,9.46,12.6,7.22,9.42,12.31,12.3,10.92,11.43,16.92,17.13,11.46,18.74,14.15,12.97,17.21,21.66,12.33,23.72
ebv-miR-BART19-3p,17.48,16.77,16.66,22.92,30.39,20.06,22.24,16.77,9.92,37.45,21.57,16.24,17.02,20.12,30.03,17.23,41.36,17.22
ebv-miR-BART19-5p,15.9,4.73,9.42,9.42,15.87,4.96,4.73,6.4,4.73,17.13,9.33,3.13,9.38,16.75,3.28,12.5,12.33,23.72
ebv-miR-BART2-3p,12.47,7.22,5.52,8.25,10.45,7.62,13.36,15.45,1.81,5.52,4.73,3.13,24.38,9.71,17.21,13.85,17.13,19.57
ebv-miR-BART2-5p,24.04,17.32,23.8,25.25,21.97,19.5,17.72,20.07,21.81,22.04,12.75,21.57,18.28,16.75,13.84,17.23,24.35,21.57
ebv-miR-BART20-3p,13.33,21.69,21.57,20.93,19.1,13.8,17.72,7.22,19.54,26.27,25.25,11.43,18.28,20.12,17.21,12.5,19.57,26.68
ebv-miR-BART20-5p,10.39,9.33,4.38,12.27,23.8,12.75,7.59,15.45,7.22,14.89,11.46,16.24,12.6,9.71,10.25,9.64,9.49,8.24
ebv-miR-BART21-3p,23.55,14.33,16.66,17.48,19.1,30.8,36.36,16.77,16.92,167,15.87,25.23,28.81,29.01,13.84,38.62,9.49,11.43
ebv-miR-BART21-5p,9.46,19.57,6.41,13.87,17.23,7.22,14.89,9.46,15.02,7.22,10.02,9.71,17.02,6.72,20.44,13.85,12.33,11.43
ebv-miR-BART22,6.41,3.91,12.4,2.38,1.66,4.96,3.35,7.22,1.13,7.22,3.59,7.22,6.28,6.72,10.25,1.48,12.33,5.5
ebv-miR-BART3,8.35,7.71,6.41,3.8,9.44,4.02,10.92,5.01,5.56,11.27,7.36,9.71,7.59,9.71,10.25,11.03,14.71,17.22
ebv-miR-BART4,9.46,11.97,9.42,5.59,3.72,14.45,6.28,1.57,3.59,5.52,10.02,4.14,7.59,16.75,3.28,9.64,7.22,5.5
ebv-miR-BART5,8.35,11.97,13.27,7.23,58.74,7.22,9.46,6.4,7.22,13.04,7.36,14.33,10.02,29.01,7.22,21.66,9.49,17.22
ebv-miR-BART6-3p,23.55,24.41,21.57,24.38,41.82,19.5,29.01,11.43,23.8,37.45,34.54,30.15,35,12.97,34.45,27.04,26.78,62.82
ebv-miR-BART6-5p,13.33,15.37,14.33,12.27,30.39,17.23,50.4,14.45,19.54,26.27,15.87,16.24,31.04,20.12,17.21,36.88,30.72,173.5
ebv-miR-BART7,15.18,19.1,19.54,12.99,30.39,15.31,4.73,7.22,14.15,7.22,12.75,3.13,10.02,16.75,20.44,9.64,0,14.96
ebv-miR-BART8,11.43,13.36,17.26,11.03,28.07,15.31,22.24,9.46,26.84,19.69,17.04,26.76,24.38,16.75,13.84,17.23,24.35,30.39
