Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
1552474_a_at,0.000245145,0.004315967,-1.796889,GAMT
1553102_a_at,1.01e-06,7.97e-05,-1.3271336,CCDC69
1553645_at,0.000431429,0.006435849,-1.1427763,CCDC141
1554789_a_at,6e-05,0.001567412,-1.1831221,PDE8B
1555450_a_at,0.000612371,0.008078126,-1.0105666,NAA16
1556057_s_at,0.000281812,0.004760471,-1.748284,NEUROD1
1556097_at,0.000718449,0.008939773,-2.007722,HOMER2
1556300_s_at,0.000207376,0.003824859,-1.3296791,SIM1
1557166_at,0.000341237,0.005430838,-1.4017174,PDCD4
1557292_a_at,0.000512543,0.007217109,-1.1513915,MCOLN3
1557803_at,0.000402467,0.006127667,-1.3460485,nan
1558686_at,0.000110897,0.002445062,-1.3937405,MPV17L
1559977_a_at,0.00059561,0.007935176,-1.0904148,SLC25A34
1560112_at,0.000268391,0.004604974,-1.0212214,WDFY2
1562321_at,3.82e-05,0.001124225,-2.8485442,PDK4
1563498_s_at,0.000516029,0.00723912,-1.6632384,SLC25A45
1563649_at,0.00023642,0.004201154,-1.1573919,nan
1566825_at,0.000505053,0.007145713,-1.0080038,nan
1568604_a_at,6.27e-05,0.001626331,-1.2323046,CADPS
200670_at,8.42e-06,0.000377761,-1.2799053,XBP1
200810_s_at,1.18e-07,1.62e-05,-1.0157407,CIRBP
200811_at,5.16e-08,8.75e-06,-1.0243299,CIRBP
201004_at,0.000390606,0.00600055,-1.131342,SSR4
201236_s_at,0.000340093,0.005418166,-1.7387592,BTG2
202017_at,9.2e-05,0.002128047,-1.8813503,EPHX1
202075_s_at,0.00014503,0.00295432,-1.2733991,PLTP
202242_at,1.69e-07,2.08e-05,-1.5517253,TSPAN7
202730_s_at,1.77e-05,0.000645687,-1.5423024,MIR4680///PDCD4
202731_at,2.55e-05,0.00084272,-1.7692822,MIR4680///PDCD4
202967_at,7.38e-07,6.28e-05,-1.2813187,GSTA4
202975_s_at,0.000357721,0.005618945,-1.0432897,RHOBTB3
202976_s_at,0.000103004,0.0023121,-1.183891,RHOBTB3
202992_at,2.34e-06,0.00014853,-1.9390358,C7
203423_at,0.000152682,0.003065597,-1.6888049,RBP1
203666_at,3.62e-05,0.001083499,-1.4006775,CXCL12
203680_at,1.06e-05,0.000445254,-1.3938645,PRKAR2B
203881_s_at,9.05e-06,0.000397073,-2.2286188,DMD
203924_at,0.000427596,0.00639964,-2.6806129,GSTA1
204105_s_at,0.000770176,0.009332509,-1.7618884,NRCAM
204273_at,1.59e-05,0.000599407,-1.1949733,EDNRB
204326_x_at,1.79e-08,3.99e-06,-1.5456832,MT1X
204358_s_at,0.000119042,0.002574742,-1.335244,LOC100506718///FLRT2
204359_at,3.5e-05,0.001055301,-1.8147539,LOC100506718///FLRT2
204424_s_at,1.95e-06,0.000128699,-2.4970181,LMO3
204557_s_at,8.68e-06,0.000383659,-1.1761695,DZIP1
204697_s_at,0.000151947,0.003056459,-1.5359387,CHGA
204719_at,9.46e-06,0.000412631,-1.6221709,ABCA8
204745_x_at,4.95e-06,0.000252602,-1.9841024,MT1G
204869_at,0.000370597,0.005762932,-1.6799322,PCSK2
204897_at,2.53e-05,0.000839036,-1.3976619,PTGER4
204965_at,0.000204784,0.003794911,-2.096268,GC
205082_s_at,1.29e-05,0.000513061,-2.3824797,AOX1
205083_at,3.48e-06,0.000196042,-3.1549259,AOX1
205216_s_at,5.98e-05,0.001565615,-1.82727,APOH
205303_at,2.52e-07,2.79e-05,-1.7643432,KCNJ8
205304_s_at,1.25e-06,9.13e-05,-1.6702413,KCNJ8
205352_at,3.35e-05,0.001025301,-1.7902078,SERPINI1
205354_at,0.000213035,0.003891128,-2.0512763,GAMT
205380_at,0.00026562,0.004573556,-1.8547463,PDZK1
205384_at,0.000327707,0.005294469,-1.0287474,FXYD1
205412_at,3.01e-06,0.000176257,-1.454817,ACAT1
205413_at,7.56e-06,0.000348058,-1.0050222,MPPED2
205478_at,1.47e-05,0.000561179,-1.5272815,PPP1R1A
205609_at,1.6e-06,0.000111582,-1.1396005,ANGPT1
205697_at,2.71e-05,0.000884775,-1.9497072,SCGN
205756_s_at,0.000672651,0.008601144,-1.8290128,F8
205771_s_at,2.48e-07,2.77e-05,-2.339622,AKAP7
205825_at,0.000180323,0.003445229,-1.709374,PCSK1
205848_at,0.000158381,0.003143043,-1.8030143,GAS2
205883_at,0.000102991,0.0023121,-2.0572117,ZBTB16
205952_at,1.34e-05,0.00052893,-2.7174227,KCNK3
205960_at,3.93e-06,0.000214094,-2.8256448,PDK4
205983_at,0.000160169,0.003167011,-2.2128419,DPEP1
206068_s_at,0.000161421,0.00318486,-2.4581395,ACADL
206069_s_at,0.000436811,0.006480723,-2.0830065,ACADL
206160_at,0.000464485,0.006739357,-1.1920674,APOBEC2
206209_s_at,0.000550587,0.007547495,-1.8908819,CA4
206461_x_at,1.13e-06,8.54e-05,-1.730088,MT1H
206610_s_at,0.000797366,0.009553869,-1.9233862,F11
206827_s_at,0.000106863,0.002378212,-1.1650308,TRPV6
207051_at,7.71e-05,0.001875663,-1.7494002,SLC17A4
207062_at,0.000171608,0.003328142,-3.0037217,IAPP
207468_s_at,0.000106946,0.002379079,-2.0483017,SFRP5
207542_s_at,1.64e-05,0.000612009,-1.4517415,AQP1
207557_s_at,2.41e-05,0.000808879,-1.130777,RYR2
207761_s_at,1.13e-11,1.82e-08,-1.4218842,METTL7A
207776_s_at,1.81e-08,3.99e-06,-1.0402549,CACNB2
207778_at,0.000825064,0.009759233,-3.0346694,REG1CP
207843_x_at,0.000158178,0.003140151,-1.1804358,CYB5A
207977_s_at,8.35e-08,1.27e-05,-1.6905069,DPT
207981_s_at,5.14e-06,0.000259604,-1.8761002,ESRRG
208056_s_at,3.58e-05,0.001073024,-1.2270754,CBFA2T3
208086_s_at,0.000283196,0.004773508,-1.5592024,DMD
208195_at,2.63e-05,0.000865469,-1.7506942,TTN
208337_s_at,0.000307181,0.005064994,-2.2491277,NR5A2
208343_s_at,0.000108485,0.00240451,-2.2742219,NR5A2
208450_at,0.000323371,0.005238874,-2.4183656,LGALS2
208581_x_at,9.24e-08,1.37e-05,-1.5899729,MT1X
208791_at,1.82e-06,0.000121963,-1.3435019,CLU
208792_s_at,4.79e-06,0.00024661,-1.2851362,CLU
209047_at,1.8e-05,0.000653816,-1.4318245,AQP1
209074_s_at,1.68e-07,2.07e-05,-1.5650226,FAM107A
209220_at,0.000455819,0.006666751,-1.0131312,GPC3
209291_at,1.43e-05,0.000551342,-1.111624,ID4
