Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
1552257_a_at,3.83e-10,2.35e-07,1.2082386,TTLL12
1552365_at,0.000381131,0.005885777,1.8772526,SCIN
1552367_a_at,0.000102606,0.00230767,1.2622598,SCIN
1552477_a_at,0.000313247,0.005119716,1.2548059,IRF6
1552502_s_at,6.34e-14,4.95e-10,2.0649624,RHBDL2
1552546_a_at,1.09e-05,0.000452564,1.2167848,LETM2
1552619_a_at,3.06e-12,7.28e-09,2.231518,ANLN
1553099_at,1.36e-05,0.000533056,1.1431617,TIGD1
1553589_a_at,8.54e-06,0.000381177,1.8997976,PDZK1IP1
1553613_s_at,3.79e-05,0.00111887,1.3509883,FOXC1
1553678_a_at,0.000453574,0.006648855,1.1287929,ITGB1
1553994_at,0.000260412,0.004507729,1.4684677,NT5E
1553997_a_at,1.29e-07,1.7e-05,1.3260053,ASPHD1
1554020_at,3.08e-09,1.08e-06,1.4801442,BICD1
1554334_a_at,1.59e-08,3.61e-06,1.2396461,DNAJA4
1554436_a_at,1.69e-05,0.000624509,3.7514087,REG4
1554438_at,2.41e-07,2.7e-05,1.1128882,KIAA1217
1554452_a_at,1.4e-05,0.000545053,1.5697507,HILPDA
1554600_s_at,0.0005601,0.007626214,1.0542563,LMNA
1554696_s_at,3.8e-05,0.001121118,1.0184887,TYMS
1554768_a_at,5.64e-06,0.000279151,1.5644485,MAD2L1
1554895_a_at,1.92e-09,7.71e-07,1.1628286,RHBDL2
1554897_s_at,1.54e-10,1.15e-07,1.7252139,RHBDL2
1554921_a_at,1.15e-05,0.000471533,1.1355372,SCEL
1554997_a_at,1.35e-05,0.000529734,1.7518614,PTGS2
1555136_at,2.37e-10,1.56e-07,1.6149437,FGD6
1555137_a_at,1.07e-09,4.94e-07,1.8256849,FGD6
1555203_s_at,1.05e-05,0.000442584,2.3995452,SLC44A4
1555269_a_at,0.000125233,0.002673702,1.7574292,ANO1
1555292_at,6.22e-05,0.001616309,1.0393763,STRIP2
1555326_a_at,1.78e-05,0.000649862,2.1579972,ADAM9
1555383_a_at,1.62e-05,0.000607054,1.6943556,POF1B
1555420_a_at,0.000515457,0.007237729,1.4916456,KLF7
1555486_a_at,1.41e-05,0.000546616,1.3579448,PRR5L
1555730_a_at,0.000539854,0.007456508,1.1616781,CFL1
1555731_a_at,4.14e-09,1.33e-06,2.2551128,AP1S3
1555733_s_at,2.28e-12,6.93e-09,1.7764801,AP1S3
1555734_x_at,6.41e-11,6.23e-08,1.0340592,AP1S3
1555758_a_at,0.00012557,0.002677773,1.6155215,CDKN3
1555778_a_at,0.000659126,0.00847782,2.7902679,POSTN
1555895_at,1.24e-07,1.66e-05,1.0380088,DNM2
1555905_a_at,7.31e-05,0.001803696,1.192801,TCAIM
1555950_a_at,2.35e-08,4.91e-06,2.5518468,CD55
1556034_s_at,3.04e-06,0.000177248,2.3963792,MTMR11
1557094_at,3.47e-06,0.000195948,1.151327,LOC100996760
1557197_a_at,7.85e-06,0.000357461,1.5697795,LGALS3
1557257_at,5.74e-06,0.000282445,1.3798446,BCL10
1557352_at,1.07e-06,8.26e-05,1.40463,SQLE
1557749_at,0.000539724,0.007456508,1.2196686,EHBP1L1
1558034_s_at,2.09e-05,0.000723787,2.1604146,CP
1558199_at,0.000560813,0.007632111,1.5635518,FN1
1558216_at,7.96e-09,2.14e-06,1.8722128,AFAP1-AS1
1558217_at,9.89e-06,0.000424383,1.1806292,SLFN13
1558290_a_at,3.83e-05,0.001124271,1.0985873,MIR1204///PVT1
1558365_at,1.63e-06,0.000112973,1.0003725,PGK1
1558378_a_at,1.39e-07,1.8e-05,1.6346964,AHNAK2
1558621_at,2.29e-07,2.63e-05,1.0985444,CABLES1
1558732_at,0.000583876,0.00784627,1.1788461,MAP4K4
1559360_at,6.32e-11,6.23e-08,1.6633715,nan
1559361_at,9.37e-07,7.51e-05,1.7272951,LOC101927668///MACC1
1560916_a_at,7.52e-08,1.18e-05,1.019704,DPY19L1
1561254_at,8.55e-09,2.27e-06,1.4797457,LOC340340
1561689_at,0.000717463,0.008933603,1.3433407,nan
1562416_at,0.000183886,0.003492777,1.1726881,nan
1563209_a_at,1.19e-05,0.000481768,1.6387859,MACROD2
1563494_at,8.05e-05,0.001932583,1.136917,nan
1564064_a_at,7.75e-05,0.001883794,1.0575117,ATP11B
1566465_at,3.34e-07,3.43e-05,1.5685184,KCNK1
1566764_at,2e-06,0.000130557,1.6476175,MACC1
1566766_a_at,1.76e-06,0.000119289,1.7764535,MACC1
1567107_s_at,0.000216513,0.003934923,1.1017064,TPM4
1569150_x_at,0.000120114,0.00259486,1.6597052,PDLIM7
