microRNA,p.value,P.adjusted.BH,logFC
hsa-miR-135b,8.92e-07,0.000654867,2.819987
hsa-miR-197,3.25e-05,0.00642201,2.192276
hsa-miR-490-3p,3.62e-05,0.00642201,1.888625
hsa-miR-221,4.77e-05,0.00642201,2.181648
hsa-miR-145,5.82e-05,0.00642201,3.244704
hsa-miR-10a,6.12e-05,0.00642201,2.841119
hsa-miR-484,8.17e-05,0.007497992,1.835517
hsa-miR-337-3p,0.000137519,0.00932211,1.307959
hsa-miR-342-3p,0.000146879,0.00932211,2.136132
hsa-miR-223,0.00015278,0.00932211,2.930734
hsa-miR-140-3p,0.000165105,0.00932211,1.504247
hsa-miR-21,0.000210097,0.009710284,2.992536
hsa-miR-331-3p,0.000211668,0.009710284,1.830589
hsa-miR-190b,0.000231076,0.009977059,1.369034
