microRNA,Gene.symbol
hsa-miR-135b,TSEN54
hsa-miR-135b,GGNBP2
hsa-miR-135b,C6orf106
hsa-miR-135b,NUCKS1
hsa-miR-135b,TMEM168
hsa-miR-135b,PELI2
hsa-miR-135b,LZTS1
hsa-miR-135b,NUDT4
hsa-miR-135b,HOXA10
hsa-miR-135b,ELOVL2
hsa-miR-135b,ST7L
hsa-miR-135b,NCKIPSD
hsa-miR-135b,MYEF2
hsa-miR-135b,YBX2
hsa-miR-135b,RGL1
hsa-miR-135b,WAPAL
hsa-miR-135b,KIAA0831
hsa-miR-135b,CHSY1
hsa-miR-135b,BTBD10
hsa-miR-135b,ADO
hsa-miR-135b,ZRANB2
hsa-miR-135b,HIF1A
hsa-miR-135b,MTDH
hsa-miR-135b,PHOSPHO1
hsa-miR-135b,C3orf59
hsa-miR-135b,CHMP4B
hsa-miR-135b,SLC9A9
hsa-miR-135b,YTHDF3
hsa-miR-135b,ZNF385B
hsa-miR-135b,LONRF1
hsa-miR-135b,SGMS1
hsa-miR-135b,PHLDB2
hsa-miR-135b,ARHGEF7
hsa-miR-135b,C1orf96
hsa-miR-135b,KCTD12
hsa-miR-135b,CTTNBP2
hsa-miR-135b,PSIP1
hsa-miR-135b,JAKMIP2
hsa-miR-135b,TMEM97
hsa-miR-135b,BZW2
hsa-miR-135b,TAF4
hsa-miR-135b,STAT6
hsa-miR-135b,SSR2
hsa-miR-135b,SSR1
hsa-miR-135b,PPP1CC
hsa-miR-135b,MSX2
hsa-miR-135b,KPNA3
hsa-miR-135b,FRK
hsa-miR-135b,FOXO1
hsa-miR-135b,BACH1
hsa-miR-135b,ANXA7
hsa-miR-135b,SLC25A5
hsa-miR-135b,ADCYAP1
hsa-miR-135b,GOLGA7
hsa-miR-135b,PTER
hsa-miR-135b,NR3C2
hsa-miR-135b,CACNA1D
hsa-miR-135b,SEC62
hsa-miR-135b,TRPC1
hsa-miR-135b,ARHGAP6
hsa-miR-135b,TBK1
hsa-miR-135b,HPS5
hsa-miR-135b,PIM2
hsa-miR-135b,RALBP1
hsa-miR-135b,CPLX1
hsa-miR-135b,SMC1A
hsa-miR-135b,AKR1A1
hsa-miR-135b,MAN1A1
hsa-miR-135b,PRKD3
hsa-miR-135b,PTK2
hsa-miR-135b,LIMK2
hsa-miR-135b,ELK3
hsa-miR-135b,NUP153
hsa-miR-135b,JAK2
hsa-miR-135b,ENTPD4
hsa-miR-135b,KLF4
hsa-miR-135b,COL4A3
hsa-miR-221,CDKN1B
hsa-miR-221,ATXN1
hsa-miR-221,TMCC1
hsa-miR-221,NSMCE4A
hsa-miR-221,GOLSYN
hsa-miR-221,EIF5A2
hsa-miR-221,DCUN1D1
hsa-miR-221,DMRT3
hsa-miR-221,C12orf30
hsa-miR-221,MIER3
hsa-miR-221,RBM24
hsa-miR-221,NAP1L5
hsa-miR-221,HECTD2
hsa-miR-221,GARNL1
hsa-miR-221,ASB7
hsa-miR-221,INSIG1
hsa-miR-221,NRK
hsa-miR-221,ZEB2
hsa-miR-221,RIMS3
hsa-miR-221,TOX
hsa-miR-221,PPP3R1
hsa-miR-221,BMF
hsa-miR-221,ARF4
hsa-miR-221,NTF3
hsa-miR-221,TCF12
hsa-miR-221,EIF3J
hsa-miR-221,HRB
hsa-miR-221,FOS
hsa-miR-221,PHF2
hsa-miR-221,ARID1A
hsa-miR-221,FERMT2
hsa-miR-221,ZFPM2
hsa-miR-221,PPARGC1A
hsa-miR-221,MYLIP
hsa-miR-221,VGLL4
hsa-miR-221,CCDC64
hsa-miR-145,MDFIC
hsa-miR-145,CACHD1
hsa-miR-145,EPB41L5
hsa-miR-145,SEMA6A
hsa-miR-145,NUFIP2
hsa-miR-145,SRGAP1
hsa-miR-145,RIN2
hsa-miR-145,CDC37L1
hsa-miR-145,KIF21A
hsa-miR-145,INOC1
hsa-miR-145,RAB14
hsa-miR-145,YTHDF2
hsa-miR-145,BACH2
hsa-miR-145,ACBD3
hsa-miR-145,ZBTB10
hsa-miR-145,PAPD4
hsa-miR-145,TMEM178
hsa-miR-145,VASN
hsa-miR-145,SPSB4
hsa-miR-145,LENG8
hsa-miR-145,SELI
hsa-miR-145,SSH2
hsa-miR-145,SLITRK6
hsa-miR-145,ADPGK
hsa-miR-145,SNX27
hsa-miR-145,UXS1
hsa-miR-145,TRIM2
hsa-miR-145,PLCL2
hsa-miR-145,NUAK1
hsa-miR-145,RGS7
hsa-miR-145,REV3L
hsa-miR-145,PXN
hsa-miR-145,LOX
hsa-miR-145,DUSP6
hsa-miR-145,CBFB
hsa-miR-145,ACTG1
hsa-miR-145,FLNB
hsa-miR-145,ANGPT2
hsa-miR-145,PPP3CA
hsa-miR-145,SOX9
hsa-miR-145,SLC1A2
hsa-miR-145,ERG
hsa-miR-145,AKAP12
hsa-miR-145,CLINT1
hsa-miR-145,PDCD4
hsa-miR-145,IVNS1ABP
hsa-miR-145,NEDD9
hsa-miR-145,SEMA3A
hsa-miR-145,CITED2
hsa-miR-145,MPZL2
hsa-miR-145,SCAMP3
hsa-miR-145,IRS1
hsa-miR-145,ABCA1
