Gene-symbol,GSE15471-Adj-Pval,GSE15471-logFC,GSE16515-Adj-Pval,GSE16515-logFC,GSE28735-Adj-Pval,GSE28735-logFC
TSPAN1,2.82e-07,1.78293915,6.23e-08,3.6882971,9.3e-14,2.7266844
IFI44L,3.52e-09,1.99737328,0.003706318,2.0539791,0.000206271,1.2289118
LAMC2,1.61e-11,2.76409391,1.42e-06,4.0133897,7.27e-14,2.9016536
CTSE,8.5e-08,2.7257767,0.000214437,4.6208679,2.38e-11,2.6841011
CENPF,2.61e-06,1.00206579,1.08e-06,2.0276694,2.72e-08,1.3075462
RHBDL2,4.79e-07,1.17563806,4.95e-10,2.0649624,9.81e-10,1.1258644
SLC2A1,7.56e-07,1.41478683,6.32e-14,3.0533566,3.82e-11,1.8381029
COL11A1,6.14e-13,3.54212193,0.00043013,3.9450313,8.05e-10,2.1946749
MTMR11,1.18e-07,1.73578547,0.000177248,2.3963792,3.33e-10,1.1160298
S100A16,5.47e-08,1.1650921,2.51e-05,2.110029,9.59e-10,1.1656542
S100A14,0.00047943,1.06699387,8.08e-05,2.6643224,7.65e-08,1.2504989
ASPM,2.06e-05,1.38313105,1.79e-05,2.1664253,5.18e-07,1.2180584
LAMB3,6.02e-08,1.7945134,1.16e-07,3.6738991,9.3e-14,2.3442298
ANXA8L1///ANXA8,3.17e-05,1.29098707,7.99e-06,2.8578011,4.06e-07,1.458856
DKK1,8.14e-09,2.30661726,3.18e-09,3.8761945,4.58e-07,1.2162724
PLAU,9.08e-11,2.05029247,0.002571324,2.7324044,6.36e-08,1.3743673
ACSL5,0.003308862,1.18356539,0.007301899,1.9244909,1.95e-07,1.4634847
PLPP4,1.91e-10,2.2263166,0.000525489,2.4051361,2.38e-11,1.1414518
ANKRD22,1.63e-05,1.30858993,0.000337335,2.5736723,2.73e-08,1.5765009
MYOF,5.29e-12,2.42275972,0.002608062,1.8548858,2.41e-08,1.3488062
MICAL2,3.81e-10,1.20391622,0.003770868,1.1188393,2.48e-10,1.2684082
ANO1,8.03e-14,2.97053176,0.002673702,1.7574292,8.07e-09,1.2739089
TMPRSS4,4.96e-07,1.9637276,7.16e-09,4.5041304,4.28e-12,2.2573618
TMEM45B,0.001957632,1.4088581,0.00141344,2.1279175,1e-06,1.3963273
TCN1,3.26e-07,2.90090404,0.006121133,3.3290883,0.000267727,1.5896369
PGM2L1,1.04e-12,1.61020343,0.002767918,1.4075755,8.76e-09,1.0538702
SYTL2,2.01e-08,1.66532807,0.006629987,1.7742407,2.83e-08,1.0928962
NOX4,1.69e-16,3.02767059,0.003271551,2.3154453,6.07e-10,1.6264947
MMP1,7.46e-08,3.49148002,0.006171564,2.9607088,0.001690868,1.2251593
MMP12,4.16e-06,2.66435443,0.004411097,3.1168124,4.45e-07,1.7443562
TRIM29,5.23e-09,2.00085653,9.74e-09,5.0935752,2.03e-10,1.4077371
ENO2,1.62e-09,1.6129782,5.94e-05,1.6946701,2.57e-07,1.1134007
GPRC5A,1.22e-12,2.98614965,2.42e-06,4.3196152,2.05e-09,1.1751238
ARNTL2,3.76e-08,1.52224515,1.01e-06,2.5618189,2.41e-08,1.2634424
KRT7,7.54e-13,3.10730417,0.000233198,3.2872588,1.1e-06,1.6835824
OAS1,1.67e-06,1.21738702,0.000679318,2.3434841,1.02e-07,1.130268
OAS2,3.22e-07,1.39078244,0.000571507,2.0709345,6.22e-07,1.0571731
SCNN1A,0.000803075,1.08886497,0.008780564,1.5464286,9.69e-06,1.0022056
STYK1,1.18e-05,1.25356262,6.01e-10,2.534921,2.38e-11,1.2155107
KRT6A,0.004177635,1.07507663,0.000451453,2.3372834,0.000517537,1.0361116
FGD6,8.65e-08,1.08683382,1.56e-07,1.6149437,1.78e-09,1.2339911
DGKH,2.81e-10,1.64477546,0.005849799,1.3050633,1.59e-06,1.0501716
