ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7896736,2.96E-01,1.93E-01,-1.312868,-5.788079,-0.1212653,,
7896738,8.17E-01,7.43E-01,-0.328739,-6.58285,-0.0102611,,
7896740,6.95E-01,5.97E-01,0.530539,-6.49686,0.0151329,OR4F17///OR4F5///OR4F4,olfactory receptor family 4 subfamily F member 17///olfactory receptor family 4 subfamily F member 5///olfactory receptor family 4 subfamily F member 4
7896742,4.05E-04,4.35E-05,-4.29577,1.699758,-0.365488,LOC100134822///SEPT14///LINC00266-1///PCMTD2,uncharacterized LOC100134822///septin 14///long intergenic non-protein coding RNA 266-1///protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
7896744,9.75E-02,4.52E-02,-2.030855,-4.632687,-0.2916862,OR4F29///OR4F21///OR4F16///OR4F3,olfactory receptor family 4 subfamily F member 29///olfactory receptor family 4 subfamily F member 21///olfactory receptor family 4 subfamily F member 16///olfactory receptor family 4 subfamily F member 3
7896746,1.10E-03,1.50E-04,-3.957054,0.533499,-0.5137936,,
7896748,2.90E-03,4.96E-04,-3.612723,-0.582405,-0.6132962,,
7896750,2.47E-04,2.37E-05,-4.455934,2.273178,-0.7159889,,
7896752,1.99E-02,5.76E-03,-2.828149,-2.829438,-0.451072,,
7896754,2.83E-01,1.82E-01,-1.345962,-5.745197,-0.1281518,LOC100287934///LOC100287497,uncharacterized LOC100287934///septin 7 pseudogene
7896756,1.70E-05,8.33E-07,-5.291517,5.465182,-0.4049213,FAM87B///FAM87A,family with sequence similarity 87 member B///family with sequence similarity 87 member A
7896759,9.20E-05,6.89E-06,-4.773214,3.447557,-0.4395482,LINC01128,long intergenic non-protein coding RNA 1128
7896761,8.21E-02,3.61E-02,-2.126986,-4.443214,-0.1056316,SAMD11,sterile alpha motif domain containing 11
7896779,3.10E-02,1.02E-02,-2.624262,-3.33943,-0.1440922,KLHL17,kelch like family member 17
7896798,3.81E-01,2.68E-01,1.114735,-6.023219,0.0509604,PLEKHN1,pleckstrin homology domain containing N1
7896817,4.54E-04,5.01E-05,4.258094,1.566861,0.2571042,ISG15,ISG15 ubiquitin-like modifier
7896822,1.15E-04,9.08E-06,4.703406,3.18496,0.4359913,AGRN,agrin
7896859,4.97E-01,3.81E-01,-0.879868,-6.253439,-0.049164,MIR200B,microRNA 200b
7896861,3.75E-01,2.62E-01,-1.128329,-6.008275,-0.0361413,MIR200A,microRNA 200a
7896863,7.36E-01,6.45E-01,0.461771,-6.53068,0.0199796,MIR429,microRNA 429
7896865,1.80E-02,5.07E-03,-2.872002,-2.715565,-0.1238651,TTLL10,tubulin tyrosine ligase like 10
7896878,3.63E-02,1.25E-02,-2.547632,-3.522675,-0.1526058,B3GALT6,"beta-1,3-galactosyltransferase 6"
